img;s_avg;s_med;s_max;s_thresh_val;s_thresh;v_avg;v_med;v_max;v_thresh_val;v_thresh
img0.jpg;0.03684741749715833;1.4935486558848176e-05;1.0;0.004955437224577836;38;0.1636485509902701;0.003683183387621013;1.0;0.0050726686845624;104
img1.jpg;0.020806054284382695;0.0001065269979360394;1.0;0.0004664994784615726;86;0.06455340063871717;0.0009102890202067637;1.0;0.020103478240511855;156
img2.jpg;0.11780213262698128;0.0002349759872132853;1.0;1.0;39;0.34802655024946544;0.12247564742219055;1.0;0.03051496792587313;100
img3.jpg;0.09661522099379188;0.0015211100393262597;1.0;0.00301336433264904;159;0.18654563254390538;0.006614161947476709;1.0;0.004771588552963041;72
img5.jpg;0.04410797443948762;0.001079763214278657;1.0;0.019963622095107613;40;0.07667218979045388;0.011166742180254478;1.0;0.010680947185742163;93
img6.jpg;0.04118713854167216;0.0008255000887445545;1.0;0.002751081189844811;65;0.20282549435333824;0.029762883475401326;1.0;0.03396650945437238;64
img7.jpg;0.09064066270651569;0.001075119113916218;1.0;0.03699105872161376;64;0.34607632505703334;0.2929891396634846;1.0;0.14488323846227677;37
img8.jpg;0.090597742159309;0.0011248615666499804;1.0;0.6103494995139129;30;0.34772964993360683;0.305913073151191;1.0;0.15605735777393678;37
img9.jpg;0.11702337471695945;0.0006416001557815165;1.0;0.026610179223638848;77;0.3267643532331372;0.1703322365669353;1.0;0.0744987870507208;36
img10.jpg;0.14427160919398724;0.00035702414221872036;1.0;0.03397884939736787;78;0.5099986944033423;0.5430901296892681;1.0;0.21630472625990077;36
img11.jpg;0.0688431126045681;0.001411375599210452;1.0;0.8322328226337061;39;0.16193108213144486;0.03198376371016495;1.0;0.006774332843941618;99
img12.jpg;0.04831099604648574;0.000478729763489976;1.0;0.0057581554114499375;52;0.31668231781055134;0.0888669697809065;1.0;0.0299083225802093;94
img13.jpg;0.03268012588210196;0.0020779331240875706;1.0;0.003034110033896698;123;0.23866986420639408;0.21618779945112296;1.0;0.36153583739390327;102
img4.jpg;0.10601917505207661;0.0012360422222071439;1.0;0.025743152009445037;79;0.15421487766442185;0.00642027378692521;1.0;0.05281962369924891;31
