thresh_value;img0.jpg_s_count;img0.jpg_v_count;img1.jpg_s_count;img1.jpg_v_count;img2.jpg_s_count;img2.jpg_v_count;img3.jpg_s_count;img3.jpg_v_count;img5.jpg_s_count;img5.jpg_v_count;img6.jpg_s_count;img6.jpg_v_count;img7.jpg_s_count;img7.jpg_v_count;img8.jpg_s_count;img8.jpg_v_count;img9.jpg_s_count;img9.jpg_v_count;img10.jpg_s_count;img10.jpg_v_count;img11.jpg_s_count;img11.jpg_v_count;img12.jpg_s_count;img12.jpg_v_count;img13.jpg_s_count;img13.jpg_v_count;img4.jpg_s_count;img4.jpg_v_count
203;0;1;1;1;0;72;14;23;6;1;0;1;1;1;0;1;1;1;0;1;3;1;7;1;1;1;0;1
204;0;1;1;1;0;60;14;17;6;1;0;1;1;1;0;1;1;1;0;1;3;3;7;1;1;1;0;1
205;0;1;1;1;0;50;13;17;6;1;0;1;1;1;0;1;1;1;0;1;3;4;7;1;1;1;0;1
206;0;1;1;1;0;60;14;18;6;1;0;1;1;1;0;1;1;1;0;1;3;3;7;1;1;1;0;1
207;0;1;1;1;0;47;12;20;6;1;0;1;1;1;0;1;1;1;0;1;3;5;7;1;1;1;0;1
208;0;1;1;1;0;36;12;16;6;1;0;1;0;1;0;1;1;1;0;1;3;5;7;1;1;1;0;1
209;0;1;1;1;0;27;12;20;5;1;0;1;0;1;0;1;1;1;0;1;3;6;6;1;1;1;0;1
210;0;1;1;1;0;24;12;19;5;1;0;1;0;1;0;1;1;1;0;1;3;8;6;1;1;1;0;1
211;0;1;1;1;0;21;12;19;5;1;0;1;0;1;0;1;1;1;0;1;3;6;6;1;1;1;0;1
212;0;1;1;1;0;16;12;17;5;1;0;1;0;1;0;1;1;1;0;1;2;2;6;1;1;1;0;1
213;0;1;1;1;0;10;11;8;5;1;0;1;0;1;0;1;1;1;0;1;2;5;6;1;1;1;0;1
214;0;1;1;1;0;9;11;7;5;1;0;1;0;1;0;1;1;1;0;1;2;6;6;1;1;1;0;1
215;0;1;1;1;0;3;11;13;5;1;0;1;0;1;0;1;1;1;0;1;2;6;6;1;1;1;0;1
216;0;1;1;1;0;1;11;16;5;1;0;1;0;1;0;1;1;1;0;1;2;4;6;1;1;1;0;1
217;0;1;1;1;0;1;11;11;5;1;0;1;0;1;0;1;1;1;0;1;2;2;6;1;1;1;0;1
218;0;1;1;1;0;1;11;7;5;1;0;1;0;1;0;1;1;1;0;1;2;3;6;1;1;1;0;1
219;0;1;1;1;0;1;11;4;5;1;0;1;0;1;0;1;1;1;0;1;2;2;6;1;1;1;0;1
220;0;1;1;1;0;1;11;6;5;1;0;1;0;1;0;1;1;1;0;1;2;1;6;1;1;1;0;1
221;0;1;1;1;0;1;11;4;5;1;0;1;0;1;0;1;1;1;0;1;2;3;5;1;1;1;0;1
222;0;1;1;1;0;1;11;3;5;1;0;1;0;1;0;1;1;1;0;1;2;1;5;1;1;1;0;1
223;0;1;1;1;0;1;12;1;5;1;0;1;0;1;0;1;1;1;0;1;2;1;5;1;1;1;0;1
224;0;1;1;1;0;1;12;1;5;1;0;1;0;1;0;1;1;1;0;1;2;1;5;1;1;1;0;1
225;0;1;0;1;0;1;11;1;5;1;0;1;0;1;0;1;1;1;0;1;2;1;4;1;1;1;0;1
226;0;1;0;1;0;1;11;1;5;1;0;1;0;1;0;1;1;1;0;1;2;1;4;1;1;1;0;1
227;0;1;0;1;0;1;10;1;5;1;0;1;0;1;0;1;1;1;0;1;2;1;4;1;1;1;0;1
228;0;1;0;1;0;1;10;1;5;1;0;1;0;1;0;1;1;1;0;1;2;1;4;1;1;1;0;1
229;0;1;0;1;0;1;10;1;5;1;0;1;0;1;0;1;1;1;0;1;2;1;4;1;1;1;0;1
230;0;1;0;1;0;1;10;1;5;1;0;1;0;1;0;1;1;1;0;1;2;1;4;1;1;1;0;1
231;0;1;0;1;0;1;10;1;5;1;0;1;0;1;0;1;1;1;0;1;2;1;4;1;1;1;0;1
232;0;1;0;1;0;1;10;1;5;1;0;1;0;1;0;1;1;1;0;1;2;1;4;1;1;1;0;1
233;0;1;0;1;0;1;9;1;4;1;0;1;0;1;0;1;1;1;0;1;2;1;3;1;2;1;0;1
234;0;1;0;1;0;1;9;1;4;1;0;1;0;1;0;1;1;1;0;1;2;1;3;1;2;1;0;1
235;0;1;0;1;0;1;8;1;4;1;0;1;0;1;0;1;1;1;0;1;2;1;3;1;2;1;0;1
236;0;1;0;1;0;1;8;1;4;1;0;1;0;1;0;1;1;1;0;1;2;1;3;1;2;1;0;1
237;0;1;0;1;0;1;8;1;4;1;0;1;0;1;0;1;1;1;0;1;2;1;3;1;2;1;0;1
238;0;1;0;1;0;1;8;1;4;1;0;1;0;1;0;1;1;1;0;1;2;1;3;1;1;1;0;1
239;0;1;0;1;0;1;8;1;3;1;0;1;0;1;0;1;1;1;0;1;2;1;3;1;1;1;0;1
240;0;1;0;1;0;1;8;1;3;1;0;1;0;1;0;1;1;1;0;1;2;1;3;1;1;1;0;1
241;0;1;0;1;0;1;8;1;3;1;0;1;0;1;0;1;1;1;0;1;2;1;3;1;1;1;0;1
242;0;1;0;1;0;1;8;1;3;1;0;1;0;1;0;1;1;1;0;1;2;1;3;1;1;1;0;1
243;0;1;0;1;0;1;8;1;3;1;0;1;0;1;0;1;1;1;0;1;2;1;3;1;1;1;0;1
244;0;1;0;1;0;1;8;1;3;1;0;1;0;1;0;1;1;1;0;1;2;1;3;1;1;1;0;1
245;0;1;0;1;0;1;7;1;3;1;0;1;0;1;0;1;1;1;0;1;2;1;3;1;1;1;0;1
246;0;1;0;1;0;1;7;1;3;1;0;1;0;1;0;1;1;1;0;1;2;1;3;1;1;1;0;1
247;0;1;0;1;0;1;7;1;3;1;0;1;0;1;0;1;1;1;0;1;2;1;3;1;1;1;0;1
248;0;1;0;1;0;1;7;1;3;1;0;1;0;1;0;1;1;1;0;1;2;1;3;1;1;1;0;1
249;0;1;0;1;0;1;7;1;3;1;0;1;0;1;0;1;1;1;0;1;2;1;3;1;1;1;0;1
250;0;1;0;1;0;1;7;1;3;1;0;1;0;1;0;1;1;1;0;1;2;1;3;1;1;1;0;1
251;0;1;0;1;0;1;7;1;3;1;0;1;0;1;0;1;1;1;0;1;2;1;3;1;1;1;0;1
252;0;1;0;1;0;1;7;1;3;1;0;1;0;1;0;1;1;1;0;1;2;1;3;1;1;1;0;1
253;0;1;0;1;0;1;7;1;3;1;0;1;0;1;0;1;1;1;0;1;2;1;3;1;1;1;0;1
254;0;1;0;1;0;1;7;1;3;1;0;1;0;1;0;1;1;1;0;1;2;1;3;1;1;1;0;1
255;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1
