thresh_value;img0.jpg_s_count;img0.jpg_v_count;img1.jpg_s_count;img1.jpg_v_count;img2.jpg_s_count;img2.jpg_v_count;img3.jpg_s_count;img3.jpg_v_count;img5.jpg_s_count;img5.jpg_v_count;img6.jpg_s_count;img6.jpg_v_count;img7.jpg_s_count;img7.jpg_v_count;img8.jpg_s_count;img8.jpg_v_count;img9.jpg_s_count;img9.jpg_v_count;img10.jpg_s_count;img10.jpg_v_count;img11.jpg_s_count;img11.jpg_v_count;img12.jpg_s_count;img12.jpg_v_count;img13.jpg_s_count;img13.jpg_v_count;img4.jpg_s_count;img4.jpg_v_count
49;13;9;28;10;39;7;1;15;37;30;45;25;198;180;141;181;424;47;441;106;30;15;29;20;54;134;62;62
50;12;10;28;10;24;7;1;15;36;30;46;27;167;198;143;196;411;53;458;117;32;16;28;20;60;142;61;70
51;12;10;20;10;14;7;1;15;36;30;50;29;144;216;128;222;398;54;467;136;31;16;26;20;64;145;67;75
52;11;10;18;10;21;8;1;15;36;31;51;28;126;232;127;242;398;58;460;142;31;16;27;20;67;142;67;79
53;11;11;19;10;25;8;1;15;36;31;47;28;116;253;121;267;389;55;440;153;30;16;26;20;68;145;64;78
54;11;12;17;10;29;7;1;15;35;32;41;27;106;291;113;288;374;56;415;169;30;18;26;22;74;148;60;83
55;11;12;17;10;28;7;1;15;35;32;42;28;86;316;94;300;366;54;376;186;30;20;26;22;77;153;51;83
56;10;13;18;11;36;7;1;15;36;32;39;28;74;326;79;314;349;55;360;198;30;22;25;23;82;148;53;87
57;10;13;17;11;44;8;1;16;35;31;39;30;63;326;76;331;328;58;361;200;34;22;25;23;85;149;57;89
58;10;12;15;11;54;8;1;16;37;31;39;31;52;326;65;335;309;64;334;214;36;22;25;23;95;142;52;83
59;10;12;14;11;64;8;1;16;38;31;36;29;46;329;64;325;290;68;306;234;34;22;25;23;93;147;48;96
60;10;12;14;11;50;7;1;17;39;31;32;29;38;315;61;307;271;70;290;240;34;22;25;23;105;153;45;95
61;9;12;13;11;46;7;1;18;42;31;31;29;32;285;53;296;246;74;265;263;36;21;25;24;108;150;50;97
62;9;13;13;11;41;7;1;19;43;31;31;29;30;248;43;268;238;76;238;280;35;21;26;25;115;159;46;96
63;9;13;13;12;50;8;1;19;45;31;31;28;29;220;43;220;225;79;211;299;32;21;25;25;122;163;45;101
64;7;13;14;12;54;8;1;18;43;31;26;27;27;170;38;184;192;85;189;287;32;22;25;25;136;164;45;92
65;7;14;16;12;56;8;1;18;45;30;27;27;26;138;36;148;173;92;165;289;37;24;24;25;141;167;41;94
66;7;14;16;12;52;8;1;18;48;29;28;27;25;114;33;126;156;97;143;291;37;23;24;25;144;158;35;88
67;5;15;16;12;45;8;1;18;47;28;28;26;24;79;31;101;141;101;136;294;32;24;23;25;150;164;36;82
68;5;15;17;12;59;8;1;18;51;28;25;26;23;66;28;51;124;106;114;296;31;24;21;25;155;172;34;80
69;5;15;17;11;59;9;1;18;50;28;24;26;23;46;25;23;111;115;96;296;31;23;21;25;156;163;36;76
